Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
100002,ABB#,ABB Ltd.,Active,A,0.02,INE117A01022,Heavy Electrical Equipment,Equity
100003,AEGISLOG#,Aegis Logistics Ltd.,Active,A,0.01,INE208C01025,Oil Marketing & Distribution,Equity
100008,ARE&M#,Amara Raja Energy & Mobility L,Active,A,1.0,INE885A01032,Auto Parts & Equipment,Equity
100027,ATUL#,Atul Limited,Active,A,10.0,INE100A01010,Agrochemicals,Equity
100034,BAJFINANCE#,BAJAJ AUTO F,Active,A,1.0,INE296A01032,,Equity
100038,BALRAMCHIN#,Balrampur Chini Mills Ltd.,Active,A,1.0,INE119A01028,Sugar,Equity
100040,ABREL#,ADITYA BIRLA REAL ESTATE LIMIT,Active,A,0.1,INE055A01016,Cement & Cement Products,Equity
100042,BASF#,BASF INDIA,Active,A,0.1,INE373A01013,Specialty Chemicals,Equity
100043,BATAINDIA#,Bata India Limited,Active,A,5.0,INE176A01028,Footwear,Equity
100048,BEML#,BEML Limited,Active,A,5.0,INE258A01024,,Equity
100049,BEL#,BHARAT ELECT,Active,A,0.01,INE263A01024,,Equity
100067,BLUESTARCO#,Blue Star Ltd,Active,A,0.02,INE472A01039,Consumer Electronics,Equity
100084,CESC#,CESC LTD,Active,A,0.01,INE486A01021,,Equity
100085,CHAMBLFERT#,Chambal Fertilizers & Chemical,Active,A,10.0,INE085A01013,Fertilizers,Equity
100086,EXIDEIND#,Exide Industries Ltd.,Active,A,0.01,INE302A01020,Auto Parts & Equipment,Equity
100087,CIPLA#,CIPLA LTD.,Active,A,2.0,INE059A01026,Pharmaceuticals,Equity
100092,CRISIL#,CRISIL Ltd.,Active,A,0.01,INE007A01025,Other Financial Services,Equity
100093,CGPOWER#,CG Power and Industrial Soluti,Active,A,0.02,INE067A01029,Heavy Electrical Equipment,Equity
100096,DABUR#,DABUR INDIA,Active,A,0.01,INE016A01026,Personal Products,Equity
100101,ARVIND#,Arvind Ltd.,Active,A,10.0,INE034A01011,Textiles,Equity
